0) 	0	0	0	0 OK
1) 	1	0.5	0.000788846	1 OK
2) 	2	1	0.0122708	2 OK
3) 	3	1.5	0.0432592	3 OK
4) 	4	2	0.0798457	4 OK
5) 	5	2.5	0.0986492	5 OK
6) 	6	3	0.0881903	6 OK
7) 	7	3.5	0.0546415	7 OK
8) 	8	4	0.0139052	8 OK
9) 	9	4.5	-0.0191282	9 OK
10) 	10	5	-0.0368354	10 OK
11) 	11	5.5	-0.0393632	11 OK
12) 	12	6	-0.0316586	12 OK
13) 	13	6.5	-0.0198486	13 OK
14) 	14	7	-0.00873279	14 OK
15) 	15	7.5	-0.00084029	15 OK
16) 	16	8	0.00332919	16 OK
17) 	17	8.5	0.00452124	17 OK
18) 	18	9	0.00392345	18 OK
19) 	19	9.5	0.00261408	19 OK
